address,price,area,furnishing
"3 BHK Independent House for Sale in Begampur Extension, Begumpur, New Delhi","47 Lac ","4352 per sqft ",R
"7 BHK Independent House for Sale in Paschim Vihar Block B1, New Delhi","27 Cr ","33750 per sqft ",R
"6 BHK Independent House for Sale in Civil Lines, New Delhi","16 Cr ","71846 per sqft ",S
"3 BHK Independent House for Sale in Dwarka Sector 7, New Delhi","3.20 Cr ","30918 per sqft ",R
"5 BHK Independent House for Sale in Jaitpur, New Delhi","35 Lac ","7000 per sqft ",R
"2 BHK Independent House for Sale in Govindpuri Extension, Kalkaji, New Delhi","55 Lac ","6111 per sqft ",S
"3 BHK Independent House for Sale in Pahar Ganj, New Delhi","22 Lac ","2444 per sqft ",R
"3 BHK Independent House for Sale in Pitampura, New Delhi","2.85 Cr ","17593 per sqft ",R
"4 BHK Independent House for Sale in Raja Garden, New Delhi","8 Cr ","65844 per sqft ",R
"4 BHK Independent House for Sale in Pandav Nagar, New Delhi","1.25 Cr ","23148 per sqft ",R
"3 BHK Independent House for Sale in Khyala, Vishnu Garden, New Delhi","40 Lac ","5926 per sqft ",R
"5 BHK Independent House for Sale in Vasant Enclave, Vasant Vihar, New Delhi","3.60 Cr ","14229 per sqft ",R
"5 BHK Independent House for Sale in Aya Nagar Phase 1, New Delhi","2.60 Cr ","6500 per sqft ",S
"4 BHK Independent House for Sale in Vatva, Ahmedabad","90 Lac ","3356 per sqft ",U
"3 BHK Independent House for Sale in Sainik Farm, New Delhi","2 Cr ","8889 per sqft ",R
"2 BHK Independent House for Sale in Jaffarpur Kalan, New Delhi","15 Lac ","37500 per sqft ",R
"2 BHK Independent House for Sale in Uttam Nagar West, New Delhi","45 Lac ","9783 per sqft ",R
"4 BHK Independent House for Sale in Sterling City, Bopal, Ahmedabad","2.11 Cr ","10657 per sqft ",F
"4 BHK Independent House for Sale in CTM, Amraiwadi, Ahmedabad","90 Lac ","4000 per sqft ",F
"7 BHK Independent House for Sale in Jangpura, New Delhi","2.15 Cr ","9556 per sqft ",S
"3 BHK Independent House for Sale in BK Dutt Colony, New Delhi","1.05 Cr ","8750 per sqft ",S
"2 BHK Independent House for Sale in Qutub Vihar, Dwarka, New Delhi","21 Lac ","9333 per sqft ",S
"2 BHK Independent House for Sale in Bavla, Ahmedabad","1 Cr ","6536 per sqft ",R
"4 BHK Independent House for Sale in Ahmedabad","25 Lac ","17483 per sqft ",R
"6 BHK Independent House for Sale in Nizamuddin East, Nizamuddin, New Delhi","25 Cr ","99920 per sqft ",R
"3 BHK Independent House for Sale in Sunder Nagri, New Delhi","1.25 Cr ","17857 per sqft ",R
"2 BHK Independent House for Sale in Nikol, Ahmedabad","30 Lac ","2143 per sqft ",U
"2 BHK Independent House for Sale in Navrangpura, Ahmedabad","2.30 Cr ","10952 per sqft ",S
"3 BHK Independent House for Sale in Vijay Park, New Delhi","65 Lac ","17196 per sqft ",R
"3 BHK Independent House for Sale in Lajpat Nagar 1, New Delhi","1.50 Cr ","15000 per sqft ",R
"4 BHK Independent House for Sale in Jodhpur, Ahmedabad","2.70 Cr ","12987 per sqft ",F
"5 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","3.60 Cr ","10390 per sqft ",U
"7 BHK Independent House for Sale in Tri Nagar, New Delhi","3.25 Cr ","18056 per sqft ",R
"8 BHK Independent House for Sale in Old Rajendra Nagar, Rajinder Nagar, New Delhi","7.50 Cr ","23438 per sqft ",R
"2 BHK Independent House for Sale in Vasantkunj Society, Paldi, Ahmedabad","1.50 Cr ","9049 per sqft ",R
"4 BHK Independent House for Sale in Jashoda Nagar, Ahmedabad","85 Lac ","5667 per sqft ",F
"3 BHK Independent House for Sale in Vasant Nagar, Ahmedabad","32 Lac ","711 per sqft ",R
"1 BHK Independent House for Sale in Rohini Sector 16, New Delhi","21 Lac ","5833 per sqft ",R
"2 BHK Independent House for Sale in Nihal Vihar, Nangloi, New Delhi","19 Lac ","3455 per sqft ",R
"3 BHK Independent House for Sale in Kasindra, Ahmedabad","67 Lac ","3195 per sqft ",R
"4 BHK Independent House for Sale in Isanpur, Ahmedabad","1.15 Cr ","7667 per sqft ",R
"4 BHK Independent House for Sale in Ghuma, Ahmedabad","1.70 Cr ","10552 per sqft ",S
"3 BHK Independent House for Sale in Shalimar bagh, New Delhi","15 Cr ","71429 per sqft ",R
"2 BHK Independent House for Sale in New Delhi","75 Lac ","8065 per sqft ",R
"3 BHK Independent House for Sale in Bavla, Ahmedabad","6.50 Cr ","3791 per sqft ",F
"4 BHK Independent House for Sale in Chandkheda, Ahmedabad","1 Cr ","7692 per sqft ",U
"2 BHK Independent House for Sale in Kuha, Ahmedabad","52.5 Lac ","3646 per sqft ",R
"2 BHK Independent House for Sale in Madhuvan Park Society, Ahmedabad","53 Lac ","2433 per sqft ",R
"6 BHK Independent House for Sale in Niyojan Nagar, Ambawadi, Ahmedabad","1.80 Cr ","5000 per sqft ",R
"3 BHK Independent House for Sale in Viramgam, Ahmedabad","20 Lac ","2815 per sqft ",R
"1 BHK Independent House for Sale in Nikol, Ahmedabad","30 Lac ","8333 per sqft ",S
"5 BHK Independent House for Sale in Vinzol, Ahmedabad","75 Lac ","9416 per sqft ",R
"2 BHK Independent House for Sale in Amraiwadi, Ahmedabad","85 Lac ","7556 per sqft ",R
"5 BHK Independent House for Sale in Naroda, Ahmedabad","4.50 Cr ","8606 per sqft ",U
"3 BHK Independent House for Sale in Ghuma, Ahmedabad","1.10 Cr ","6790 per sqft ",S
"5 BHK Independent House for Sale in Bhairavnath Road Pragati Society, Ahmedabad","2.60 Cr ","9142 per sqft ",R
"4 BHK Independent House for Sale in Navrangpura, Ahmedabad","4.65 Cr ","10131 per sqft ",F
"5 BHK Independent House for Sale in Ghatlodiya, Ahmedabad","1.50 Cr ","9259 per sqft ",R
"4 BHK Independent House for Sale in Jivraj Park, Ahmedabad","1.40 Cr ","6914 per sqft ",R
"4 BHK Independent House for Sale in Sangam Vihar, New Delhi","80 Lac ","80000 per sqft ",R
"4 BHK Independent House for Sale in Sukhdev Vihar, Okhla, New Delhi","16 Cr ","59259 per sqft ",R
"6 BHK Independent House for Sale in Shahdara, New Delhi","85 Lac ","3385 per sqft ",R
